V_pop,0.000864,0.000292,-0.000183,-0.000569,-0.000294,-0.000308,0.000108,-0.000875,0.00085,0.000114,-6.67e-05,0.000139,7.22e-05,0.000123,2.46e-05
beta_V_logtHb,0.000292,0.0174,-0.00207,6.54e-05,4.08e-05,0.000357,0.000206,0.000236,-0.00769,0.000232,-0.000208,-8.56e-05,0.000156,6.44e-05,-1.86e-05
beta_V_logtWT,-0.000183,-0.00207,0.00672,9.53e-05,0.000558,-0.000154,-0.000655,-0.000812,0.000815,-2.1e-05,-3.27e-05,-0.000257,7.07e-05,-0.000207,1.28e-05
Cl_pop,-0.000569,6.54e-05,9.53e-05,0.00251,0.000228,0.00104,0.000325,0.000705,-0.000266,0.000177,-8.24e-05,-0.00218,-0.000108,-0.000213,-3.68e-05
beta_Cl_logtAGE,-0.000294,4.08e-05,0.000558,0.000228,0.00792,-0.000566,-0.000925,-0.00498,0.00434,-0.000401,0.000135,6.28e-05,2.04e-05,-0.000176,-7.06e-06
beta_Cl_logtCreatinine,-0.000308,0.000357,-0.000154,0.00104,-0.000566,0.0032,0.00157,0.000272,-0.000677,-0.00134,-0.00118,-0.000891,6.48e-05,-0.00016,-2.92e-05
beta_Cl_logtHCO3,0.000108,0.000206,-0.000655,0.000325,-0.000925,0.00157,0.0139,-0.00152,0.00272,-0.00115,0.00063,-0.000752,4.14e-05,-2.41e-05,6.64e-06
beta_Cl_logtHCT,-0.000875,0.000236,-0.000812,0.000705,-0.00498,0.000272,-0.00152,0.24,-0.223,-0.0105,-0.00257,0.00135,-0.00041,0.000275,-8.9e-05
beta_Cl_logtHb,0.00085,-0.00769,0.000815,-0.000266,0.00434,-0.000677,0.00272,-0.223,0.229,0.00841,0.00316,-0.00217,0.000262,-0.000226,0.000102
beta_Cl_logtK,0.000114,0.000232,-2.1e-05,0.000177,-0.000401,-0.00134,-0.00115,-0.0105,0.00841,0.0301,-0.00423,-0.000636,-4.21e-05,6.68e-05,1.44e-05
beta_Cl_logtP,-6.67e-05,-0.000208,-3.27e-05,-8.24e-05,0.000135,-0.00118,0.00063,-0.00257,0.00316,-0.00423,0.00614,0.000377,1.71e-05,-3.57e-05,-3.05e-06
beta_Cl_SEX_1,0.000139,-8.56e-05,-0.000257,-0.00218,6.28e-05,-0.000891,-0.000752,0.00135,-0.00217,-0.000636,0.000377,0.00331,-5.34e-06,4.96e-05,1.14e-05
omega_V,7.22e-05,0.000156,7.07e-05,-0.000108,2.04e-05,6.48e-05,4.14e-05,-0.00041,0.000262,-4.21e-05,1.71e-05,-5.34e-06,0.000468,-8.27e-05,-2.06e-05
omega_Cl,0.000123,6.44e-05,-0.000207,-0.000213,-0.000176,-0.00016,-2.41e-05,0.000275,-0.000226,6.68e-05,-3.57e-05,4.96e-05,-8.27e-05,0.000509,-8.92e-06
b,2.46e-05,-1.86e-05,1.28e-05,-3.68e-05,-7.06e-06,-2.92e-05,6.64e-06,-8.9e-05,0.000102,1.44e-05,-3.05e-06,1.14e-05,-2.06e-05,-8.92e-06,4.7e-05
