V_pop,0.000879,0.000358,-0.000203,-0.000582,-0.000241,-0.000167,-0.000188,0.00025,-0.000739,0.000658,0.000169,-3.65e-05,0.000142,8.36e-05,0.000113,2.43e-05
beta_V_logtHb,0.000358,0.0176,-0.00226,3.3e-05,7.23e-05,-0.000142,0.000438,0.000442,-0.000211,-0.00741,0.000366,-0.000251,-7.67e-05,0.000117,8.27e-05,-1.31e-05
beta_V_logtWT,-0.000203,-0.00226,0.00688,0.000144,0.000489,0.000286,-0.000372,-0.000866,-0.000722,0.000938,-9.42e-05,-5.69e-05,-0.000288,4.2e-05,-0.000194,1.7e-05
Cl_pop,-0.000582,3.3e-05,0.000144,0.00249,0.000215,0.000151,0.000903,0.00017,0.000552,-0.000101,0.000157,-0.000115,-0.00215,-0.000113,-0.000189,-3.6e-05
beta_Cl_logtAGE,-0.000241,7.23e-05,0.000489,0.000215,0.00836,-0.00137,0.000428,-0.000403,-0.00543,0.00436,0.000172,0.000341,-2.66e-05,-1.07e-05,-0.000116,-6.7e-06
beta_Cl_logtBUN,-0.000167,-0.000142,0.000286,0.000151,-0.00137,0.00332,-0.00234,-0.00154,0.00116,-4.86e-05,-0.00108,-0.000507,0.000117,-9.78e-06,-7.07e-05,-7.05e-06
beta_Cl_logtCreatinine,-0.000188,0.000438,-0.000372,0.000903,0.000428,-0.00234,0.00473,0.0026,-0.000527,-0.000678,-0.000568,-0.00078,-0.000951,5.45e-05,-6.71e-05,-2.17e-05
beta_Cl_logtHCO3,0.00025,0.000442,-0.000866,0.00017,-0.000403,-0.00154,0.0026,0.0147,-0.00136,0.00196,-0.000845,0.000852,-0.000809,7.36e-05,5.68e-05,7.49e-06
beta_Cl_logtHCT,-0.000739,-0.000211,-0.000722,0.000552,-0.00543,0.00116,-0.000527,-0.00136,0.237,-0.22,-0.0115,-0.0031,0.00132,-0.000385,0.000258,-3.74e-05
beta_Cl_logtHb,0.000658,-0.00741,0.000938,-0.000101,0.00436,-4.86e-05,-0.000678,0.00196,-0.22,0.225,0.00896,0.00352,-0.00206,0.000222,-0.000206,4.43e-05
beta_Cl_logtK,0.000169,0.000366,-9.42e-05,0.000157,0.000172,-0.00108,-0.000568,-0.000845,-0.0115,0.00896,0.0302,-0.00404,-0.000725,-1.78e-05,-4.32e-06,2.39e-05
beta_Cl_logtP,-3.65e-05,-0.000251,-5.69e-05,-0.000115,0.000341,-0.000507,-0.00078,0.000852,-0.0031,0.00352,-0.00404,0.00605,0.000378,2.62e-05,-4.23e-05,-5.48e-06
beta_Cl_SEX_1,0.000142,-7.67e-05,-0.000288,-0.00215,-2.66e-05,0.000117,-0.000951,-0.000809,0.00132,-0.00206,-0.000725,0.000378,0.00327,4.93e-06,3.09e-05,1.28e-05
omega_V,8.36e-05,0.000117,4.2e-05,-0.000113,-1.07e-05,-9.78e-06,5.45e-05,7.36e-05,-0.000385,0.000222,-1.78e-05,2.62e-05,4.93e-06,0.000441,-6.67e-05,-1.96e-05
omega_Cl,0.000113,8.27e-05,-0.000194,-0.000189,-0.000116,-7.07e-05,-6.71e-05,5.68e-05,0.000258,-0.000206,-4.32e-06,-4.23e-05,3.09e-05,-6.67e-05,0.000478,-1.06e-05
b,2.43e-05,-1.31e-05,1.7e-05,-3.6e-05,-6.7e-06,-7.05e-06,-2.17e-05,7.49e-06,-3.74e-05,4.43e-05,2.39e-05,-5.48e-06,1.28e-05,-1.96e-05,-1.06e-05,4.56e-05
