V_pop,0.00202,-0.00159,0.00236,0.000314,-0.00194,-0.00109,-0.000298,-8.74e-05,-0.000151,-0.000238,0.000184,0.000134,-0.000358,-1.68e-05,3.24e-06,0.000966,4.85e-05,8.93e-05,2.63e-05
beta_V_logtHCT,-0.00159,0.197,-0.187,-0.000432,0.000794,0.000224,0.00181,0.00224,0.00134,-0.000992,-0.00196,-0.0914,0.0865,0.0014,0.000107,-6.04e-05,-3.29e-05,-0.000451,-7.14e-05
beta_V_logtHb,0.00236,-0.187,0.195,-0.00166,-0.0016,-0.000433,-0.00176,-0.00214,-0.00141,0.00137,0.00231,0.0868,-0.0896,-0.00131,-0.000281,0.000377,0.000124,0.000508,5.59e-05
beta_V_logtWT,0.000314,-0.000432,-0.00166,0.0072,-0.000881,-5.46e-05,0.000458,-0.000322,0.000297,-0.000391,-0.00108,-0.000345,0.000566,-0.000218,1.34e-07,3.65e-05,1.73e-05,-0.000185,7.8e-06
beta_V_SEX_1,-0.00194,0.000794,-0.0016,-0.000881,0.00331,0.000906,0.000104,-3.22e-05,-5.27e-05,0.000184,0.000153,-7.89e-05,0.000424,0.000194,-7.44e-05,-0.00141,4.55e-05,2.11e-05,-7.09e-06
Cl_pop,-0.00109,0.000224,-0.000433,-5.46e-05,0.000906,0.00268,0.000268,-9.39e-05,0.000143,0.000895,6.76e-05,8.34e-05,0.000432,0.000255,-0.000119,-0.00252,-8.33e-05,-0.00017,-3.38e-05
beta_Cl_logtAGE,-0.000298,0.00181,-0.00176,0.000458,0.000104,0.000268,0.00822,6.92e-05,-0.00134,0.000422,-0.000438,-0.00626,0.0053,0.000175,0.000343,-0.000123,-1e-05,-0.000109,-5.85e-06
beta_Cl_logtAnionGap,-8.74e-05,0.00224,-0.00214,-0.000322,-3.22e-05,-9.39e-05,6.92e-05,0.0137,1.07e-05,-0.00161,0.00664,-0.00821,0.00637,0.0022,-0.00146,0.000426,2.34e-06,-8.53e-06,-1.5e-05
beta_Cl_logtBUN,-0.000151,0.00134,-0.00141,0.000297,-5.27e-05,0.000143,-0.00134,1.07e-05,0.00328,-0.00234,-0.00153,0.000535,0.000559,-0.00106,-0.000461,0.000144,-1.5e-05,-7.18e-05,-7.06e-06
beta_Cl_logtCreatinine,-0.000238,-0.000992,0.00137,-0.000391,0.000184,0.000895,0.000422,-0.00161,-0.00234,0.00484,0.00179,0.000469,-0.00147,-0.00077,-0.000637,-0.00107,6.53e-05,-2.91e-05,-1.57e-05
beta_Cl_logtHCO3,0.000184,-0.00196,0.00231,-0.00108,0.000153,6.76e-05,-0.000438,0.00664,-0.00153,0.00179,0.0179,-0.00397,0.00374,0.000326,8.65e-05,-0.000649,0.000119,8.67e-05,4.19e-06
beta_Cl_logtHCT,0.000134,-0.0914,0.0868,-0.000345,-7.89e-05,8.34e-05,-0.00626,-0.00821,0.000535,0.000469,-0.00397,0.273,-0.254,-0.0119,-0.00218,0.00128,-0.000196,0.000364,3.36e-05
beta_Cl_logtHb,-0.000358,0.0865,-0.0896,0.000566,0.000424,0.000432,0.0053,0.00637,0.000559,-0.00147,0.00374,-0.254,0.258,0.00959,0.00268,-0.0022,7.18e-05,-0.000281,-2.68e-05
beta_Cl_logtK,-1.68e-05,0.0014,-0.00131,-0.000218,0.000194,0.000255,0.000175,0.0022,-0.00106,-0.00077,0.000326,-0.0119,0.00959,0.0298,-0.00424,-0.000731,-3.57e-05,-3.72e-05,1.52e-05
beta_Cl_logtP,3.24e-06,0.000107,-0.000281,1.34e-07,-7.44e-05,-0.000119,0.000343,-0.00146,-0.000461,-0.000637,8.65e-05,-0.00218,0.00268,-0.00424,0.00614,0.000371,1.41e-05,-2.97e-05,-2.95e-06
beta_Cl_SEX_1,0.000966,-6.04e-05,0.000377,3.65e-05,-0.00141,-0.00252,-0.000123,0.000426,0.000144,-0.00107,-0.000649,0.00128,-0.0022,-0.000731,0.000371,0.00384,-4.44e-05,2.83e-05,1.38e-05
omega_V,4.85e-05,-3.29e-05,0.000124,1.73e-05,4.55e-05,-8.33e-05,-1e-05,2.34e-06,-1.5e-05,6.53e-05,0.000119,-0.000196,7.18e-05,-3.57e-05,1.41e-05,-4.44e-05,0.000462,-6.27e-05,-1.81e-05
omega_Cl,8.93e-05,-0.000451,0.000508,-0.000185,2.11e-05,-0.00017,-0.000109,-8.53e-06,-7.18e-05,-2.91e-05,8.67e-05,0.000364,-0.000281,-3.72e-05,-2.97e-05,2.83e-05,-6.27e-05,0.000458,-1.08e-05
b,2.63e-05,-7.14e-05,5.59e-05,7.8e-06,-7.09e-06,-3.38e-05,-5.85e-06,-1.5e-05,-7.06e-06,-1.57e-05,4.19e-06,3.36e-05,-2.68e-05,1.52e-05,-2.95e-06,1.38e-05,-1.81e-05,-1.08e-05,4.48e-05
